Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,140124,1026085936,5.77977,-3.26456,0.18387,4.76481,3.26973396,1.170811735,3.085329041,1,3.56327,-0.608791,1.06895,3.34253,1.230154699,1.724995971,2.088504323,-1,2.23409
GG,140124,1026139960,7.19943,-1.54685,1.41091,6.88747,2.093659941,1.906276672,2.402122626,-1,10.8745,2.57754,1.51006,10.4556,2.987305417,1.965723326,0.529952478,1,4.03615
GT,140124,1026149856,5.29121,1.00727,0.767302,-5.13638,1.266232685,-2.10830794,0.650987638,-1,6.4606,-1.31518,1.96024,-6.01298,2.360559105,-1.664644906,2.161743319,1,2.50249
GT,140124,1026152024,9.93367,-0.759258,-2.47877,-9.58884,2.592445452,-2.018937729,-1.868026834,-1,4.12543,-2.00212,-1.14817,-3.41777,2.307981552,-1.184092463,-2.620903616,-1,2.77601
GT,140124,1026199716,6.70523,-0.327056,-1.46688,6.53378,1.502898054,2.175709823,-1.790168504,1,13.5474,-3.22262,0.607237,13.1441,3.279331706,2.096690761,2.955346826,1,3.10028
GT,140124,1026204835,7.22887,1.06785,-1.52885,-6.98339,1.864855476,-2.030867197,-0.961100522,-1,5.40351,-0.134942,1.19908,-5.266,1.206649158,-2.179446096,1.682862761,1,2.92412
GG,140124,1026211964,19.837,-0.797602,3.40948,19.5252,3.501531496,2.419597574,1.800600257,-1,6.17902,0.192845,2.78419,5.51183,2.790860647,1.432379519,1.501642465,1,3.35436
GT,140124,1026251888,7.49215,-0.834564,-1.26671,-7.33621,1.516921651,-2.279807727,-2.153363512,-1,7.1019,2.89794,-1.40505,-6.32879,3.220593384,-1.427918158,-0.45144979,-1,3.8546
GT,140124,1026265404,5.16358,4.30581,-0.094103,-2.84649,4.306838183,-0.620360072,-0.021851411,-1,3.66204,-0.742832,-0.760301,-3.50279,1.062947313,-1.907926404,-2.344573287,-1,4.91461
GT,140124,1026282464,15.496,2.35118,4.92629,14.5024,5.4586061,1.703939795,1.125495922,-1,4.43381,-1.35403,1.37597,3.99009,1.930463851,1.473163132,2.348158033,1,3.8097
GG,140124,1026286398,9.35499,1.71647,2.14844,8.94106,2.749920671,1.895080346,0.896703382,1,12.9714,0.861053,6.15546,11.3849,6.21539219,1.365745621,1.431813738,-1,3.11869
GT,140124,1026290287,12.6154,-2.57234,0.889684,-12.3178,2.721850601,-2.214869713,2.80860575,1,6.28203,-0.287237,2.18236,-5.88282,2.201181561,-1.709483531,1.701661724,-1,2.86968
GT,140124,1026296104,8.30318,1.1606,-5.69492,-5.92895,5.811979539,-0.895533282,-1.369753769,-1,3.72391,-0.711813,-1.04991,-3.49962,1.268459205,-1.739333001,-2.166587145,1,3.17154
GT,140124,1026301745,28.8145,5.23581,1.72737,28.2819,5.513394007,2.337557006,0.318670517,1,5.24532,0.241041,0.959636,5.15006,0.989445307,2.351868981,1.324707747,-1,2.27109
GT,140124,1026346487,6.43858,-1.73233,-2.23827,5.78216,2.830339171,1.462667297,-2.229455917,-1,4.76198,0.842412,0.959196,4.58646,1.276602892,1.99088197,0.850129692,-1,3.93909
GT,140124,1026370339,8.1104,2.83541,0.0353683,7.5978,2.83563058,1.711874482,0.01247314,-1,4.45675,-1.34607,1.20947,4.07145,1.809619332,1.550114529,2.409596169,1,4.24193
GT,140124,1026420767,5.38046,-0.908667,2.36779,-4.74406,2.536159538,-1.384207002,1.937226232,-1,7.35377,1.23527,0.631336,-7.22096,1.387255246,-2.351909836,0.472481388,1,3.14603
